image,left_arm_load_kg,right_arm_load_kg,leg_load_kg,hip_load_kg,chest_load_kg
jeffrey-f-lin-QXzHGRXyYHE-unsplash.jpg,6.64,6.09,30.39,18.69,12.61
lawrence-crayton-IsSxH3_6WlE-unsplash.jpg,8.34,12.57,,41.3,32.71
anastase-maragos-iUzgePOoGko-unsplash.jpg,6.42,5.67,30.05,19.25,13.11
alonso-reyes-0HlI76m4jxU-unsplash.jpg,6.53,6.6,47.8,24.21,17.52
rezli-QDSAgKr1cvo-unsplash.jpg,8.52,7.67,32.52,18.82,12.73
istockphoto-1293917526-612x612.jpg,16.09,15.95,,,
26e3315e0c4cb6e8ba29a6c20f25a7f9.jpg,7.24,6.4,57.26,24.28,17.58
vertical-full-length-shot-of-sporty-young-adult-muslim-woman-wearing-hijab-exercising-in-modern-gym-using-stationary-bicycle-machine-2GPDRG1.jpg,9.25,9.53,41.88,21.59,15.19
27.jpg,5.52,6.11,35.8,22.39,15.9
6.jpg,9.53,14.02,41.58,21.9,15.47
1.jpg,11.53,11.86,84.13,20.49,14.22
4.jpg,5.92,5.75,67.31,25.9,19.02
20.jpg,9.68,7.3,53.0,34.63,26.78
23.jpg,8.02,6.01,47.28,21.23,14.87
10.jpg,7.52,6.22,71.69,24.65,17.91
5.jpg,10.36,7.85,45.45,25.23,18.43
9.jpg,5.96,6.32,49.61,27.49,20.43
7.jpg,8.91,9.46,30.94,23.9,17.24
21.jpg,5.72,11.96,54.07,31.39,23.9
18.jpg,5.85,7.05,71.13,23.84,17.19
26.jpg,5.58,7.3,50.82,29.52,22.24
8.jpg,11.84,12.1,52.5,26.2,19.29
3.jpg,5.7,6.83,37.37,24.52,17.79
2.JPG,9.06,6.36,31.2,20.29,14.04
28.jpg,6.32,6.9,57.22,36.76,28.68
19.jpg,6.56,5.62,46.74,24.41,17.7
16.jpg,6.12,6.45,47.02,23.26,16.67
13.jpg,5.68,5.86,41.69,20.47,14.2
24.jpg,5.65,6.0,43.98,19.29,13.15
11.jpg,6.28,8.02,32.49,18.83,12.74
17.jpg,9.38,7.04,31.42,18.14,12.12
15.jpg,7.02,9.53,46.78,23.23,16.65
22.jpg,5.98,10.19,32.0,22.08,15.63
14.jpg,10.58,14.66,67.08,29.26,22.01
12.jpg,9.73,8.84,47.67,25.51,18.68
0.jpg,6.85,5.9,35.5,20.95,14.62
25.jpg,8.87,6.33,38.13,18.87,12.77
annotated_26e3315e0c4cb6e8ba29a6c20f25a7f9.jpg,7.33,5.73,60.29,23.48,16.87
annotated_alonso-reyes-0HlI76m4jxU-unsplash.jpg,6.48,6.62,47.98,24.22,17.53
annotated_anastase-maragos-iUzgePOoGko-unsplash.jpg,6.26,5.85,30.46,19.2,13.06
annotated_istockphoto-1293917526-612x612.jpg,9.96,7.46,,42.06,33.39
annotated_jeffrey-f-lin-QXzHGRXyYHE-unsplash.jpg,6.58,5.93,30.27,18.69,12.61
annotated_lawrence-crayton-IsSxH3_6WlE-unsplash.jpg,8.43,12.8,,41.38,32.78
annotated_rezli-QDSAgKr1cvo-unsplash.jpg,,7.51,81.29,18.75,12.67
annotated_vertical-full-length-shot-of-sporty-young-adult-muslim-woman-wearing-hijab-exercising-in-modern-gym-using-stationary-bicycle-machine-2GPDRG1.jpg,9.65,8.99,42.17,21.8,15.38
annotated_27.jpg,5.54,7.72,36.76,23.77,17.13
annotated_6.jpg,9.38,14.18,40.84,21.99,15.54
annotated_1.jpg,11.25,11.14,31.68,20.44,14.17
annotated_4.jpg,5.94,5.74,67.37,25.83,18.96
annotated_20.jpg,9.59,8.65,58.38,34.13,26.34
annotated_23.jpg,8.08,5.97,47.25,21.22,14.86
annotated_10.jpg,7.54,6.28,72.83,24.83,18.08
annotated_5.jpg,10.32,7.9,45.38,25.15,18.35
annotated_9.jpg,6.03,6.11,50.12,27.79,20.7
annotated_7.jpg,8.18,9.52,33.54,23.48,16.87
annotated_21.jpg,5.8,12.0,57.52,32.62,24.99
annotated_18.jpg,5.93,7.4,72.53,24.04,17.37
annotated_26.jpg,5.5,7.4,51.52,29.92,22.59
annotated_8.jpg,12.4,12.19,50.83,26.08,19.18
annotated_3.jpg,5.73,6.76,49.45,31.54,24.04
annotated_28.jpg,6.19,6.9,57.63,37.43,29.27
annotated_19.jpg,7.24,5.58,42.63,23.82,17.18
annotated_16.jpg,6.03,6.61,47.5,23.48,16.87
annotated_13.jpg,5.7,6.21,42.36,20.62,14.33
annotated_24.jpg,5.58,6.15,43.81,19.44,13.28
annotated_11.jpg,6.36,7.99,31.89,18.89,12.79
annotated_17.jpg,9.41,7.11,31.33,18.15,12.14
annotated_15.jpg,8.73,9.73,46.78,23.01,16.45
annotated_22.jpg,6.01,10.24,32.12,22.33,15.85
annotated_14.jpg,10.04,14.55,68.38,28.81,21.6
annotated_12.jpg,10.82,10.94,52.99,24.16,17.47
annotated_0.jpg,6.84,5.86,32.94,20.5,14.23
annotated_25.jpg,8.93,6.28,38.44,18.9,12.8
